,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
964,2020-03-18,2020-03-21,Bellevue Police Dept,King,Bellevue,sanitizing wipes ­ disinfecting wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Commercial Resource Branch,BEL­ 202031810843 KC­ 202031810843,WA­ 202031810843,
965,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,"shield, face,",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031912270 OKEM20200319­ 0009,WA­ 202031912270,
965,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,face shields,Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031912270 OKEM20200319­ 0009,WA­ 202031912270,
966,2020-03-18,2020-03-21,Grant County Health District,Grant,Coulee City,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­13,WA­ 202031815609,
966,2020-03-18,2020-03-21,Grant County Health District,Grant,Coulee City,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­13,WA­ 202031815609,
967,2020-03-16,2020-03-21,Cashmere Fire Department,Chelan,Cashmere,"gloves, exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614470 2020­03­16­05,WA­ 202031614470,
967,2020-03-16,2020-03-21,Cashmere Fire Department,Chelan,Cashmere,"masks, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614470 2020­03­16­05,WA­ 202031614470,
967,2020-03-16,2020-03-21,Cashmere Fire Department,Chelan,Cashmere,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614470 2020­03­16­05,WA­ 202031614470,
967,2020-03-16,2020-03-21,Cashmere Fire Department,Chelan,Cashmere,"gowns, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031614470 2020­03­16­05,WA­ 202031614470,
968,2020-03-16,2020-03-21,Chelan County Fire District #1,Chelan,Wenatchee,"decon sprayer,",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031616761 2020­03­16­06,WA­ 202031616761,
968,2020-03-16,2020-03-21,Chelan County Fire District #1,Chelan,Wenatchee,sanatizing equipment,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031616761 2020­03­16­06,WA­ 202031616761,
969,2020-03-18,2020-03-21,Grant County Health District,Grant,Moses Lake,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­12,WA­ 202031815857,
969,2020-03-18,2020-03-21,Grant County Health District,Grant,Moses Lake,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­12,WA­ 202031815857,
970,2020-03-16,2020-03-21,Bellevue Police Department,King,Bellevue,"hand sanitizer, 2oz, 1000",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Accepted,Logistics Commercial Resource Branch,BE­ 202031615569 KC­ 202031615569,WA­ 202031615569,
971,2020-03-19,2020-03-21,Okanogan EM / Fire Dist 15 EMS,Okanogan,Pateros,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031911165 OKEM20200319­ 0006,WA­ 202031911165,
972,2020-03-19,2020-03-21,Lake Chelan Community Hospital,Chelan,Chelan,gloves,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­19­10,WA­ 202031911197,
972,2020-03-19,2020-03-21,Lake Chelan Community Hospital,Chelan,Chelan,"gowns, isolation",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­19­10,WA­ 202031911197,
972,2020-03-19,2020-03-21,Lake Chelan Community Hospital,Chelan,Chelan,"masks, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­19­10,WA­ 202031911197,
972,2020-03-19,2020-03-21,Lake Chelan Community Hospital,Chelan,Chelan,"sanatizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­19­10,WA­ 202031911197,
972,2020-03-19,2020-03-21,Lake Chelan Community Hospital,Chelan,Chelan,"disinfectent, surface",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­19­10,WA­ 202031911197,
973,2020-03-18,2020-03-21,Ephrata Fire Department,Grant,Ephrata,"shield, face, 20",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031815558 2020­11,WA­ 202031815558,
974,2020-03-13,2020-03-21,Confluence Health ­ Central WA Hospital,Chelan,Wenatchee,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­13­004 WA­ 202031314137,WA­ 202031314137,
974,2020-03-13,2020-03-21,Confluence Health ­ Central WA Hospital,Chelan,Wenatchee,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­13­004 WA­ 202031314137,WA­ 202031314137,
974,2020-03-13,2020-03-21,Confluence Health ­ Central WA Hospital,Chelan,Wenatchee,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­13­004 WA­ 202031314137,WA­ 202031314137,
974,2020-03-13,2020-03-21,Confluence Health ­ Central WA Hospital,Chelan,Wenatchee,"mask, n95, small",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­13­004 WA­ 202031314137,WA­ 202031314137,
974,2020-03-13,2020-03-21,Confluence Health ­ Central WA Hospital,Chelan,Wenatchee,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,2020­03­13­004 WA­ 202031314137,WA­ 202031314137,
975,2020-03-19,2020-03-22,Clallam County EOC,Clallam,Port Angeles,viral test kits,,Incident Stabilization,County,Assigned,Cancelled,Planning Section,WA­ 202031913878 CCEM0013,WA­ 202031913878,
976,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,disinfecting wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0005,WA­ 202031211588,
977,2020-03-06,2020-03-22,Clallam County HHS,Clallam,Port Angeles,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Cancelled,Planning Section,­ 20­0265­ Clallam­001,WA­ 20203614836,
978,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"mask, surgical, standard",Masks,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM 0002,WA­ 202031211220,
979,2020-03-19,2020-03-22,Clallam County EOC,Clallam,Forks,viral test kits,,Incident Stabilization,County,Assigned,Cancelled,Planning Section,WA­ 202031910890 CCEM0012,WA­ 202031910890,
980,2020-03-13,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"thermometers, no contact",Thermometers,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0008,WA­ 202031310130,
981,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"mask, papr",Masks,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0007,WA­ 202031212467,
982,2020-03-16,2020-03-22,CCEOC,Clallam,Port Angeles,covid 19 test kits,,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM 0009,WA­ 202031611430,
983,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Forks,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0003,WA­ 20203121179,
984,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,gloves,Gloves,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0006,WA­ 20203121287,
985,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM0004,WA­ 202031211425,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"mask, n95",Masks,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,"shields, face",Face Shield,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,gown,Gowns,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,gloves,Gloves,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
986,2020-03-12,2020-03-22,Clallam County EOC,Clallam,Port Angeles,cleaning supplies (non­ specific),,Incident Stabilization,County,Assigned,Cancelled,Planning Section,CCEM­0001,WA­ 20203128666,
987,2020-03-17,2020-03-22,Whitman County Emergency Management,Whitman,Albion,"masks, n95",Masks,,County,Assigned,Assigned,ESF 7­Resource Management,EM­01,WA­ 202031718690,
987,2020-03-17,2020-03-22,Whitman County Emergency Management,Whitman,Albion,"gowns, disposable",Gowns,,County,Assigned,Assigned,ESF 7­Resource Management,EM­01,WA­ 202031718690,
988,2020-03-20,2020-03-22,Whitman County Emergency Management,Whitman,Colfax,np swabs,SWABS,,County,Unassigned,,,3,WA­ 202032015347,
988,2020-03-20,2020-03-22,Whitman County Emergency Management,Whitman,Colfax,sanitizer,Disinfectant/Sanitizer,,County,Unassigned,,,3,WA­ 202032015347,
989,2020-03-19,2020-03-19,Snohomish County Sheriff's Office,Snohomish,Everett,"mask, n95",Masks,Incident Stabilization,County,Assigned,,,SnoCo­ 202031914786,WA­ 202031914786,
990,2020-03-19,2020-03-19,Snohomish County Sheriff's Office,Snohomish,Everett,"wipes, disinfecting",Disinfectant/Sanitizer,Incident Stabilization,County,Accepted,,,SnoCo­ 202031914421,WA­ 202031914421,
991,2020-03-19,2020-03-19,Snohomish County Sheriff's Office,Snohomish,Everett,"glasses, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,,,SnoCo­ 202031915538,WA­ 202031915538,
992,2020-03-19,2020-03-19,PHSKC,King,Seattle,logistics support staff ­ facilities unit leader,,Incident Stabilization,City,Accepted,Assigned,Logistics Commercial Resource Branch,PH­2020319,WA­ 202031919616,
993,2020-02-07,2020-03-19,PHSKC,King,Seattle,rr 116 ­ isolation facility,,Incident Stabilization,City,Assigned,Assigned,Logistics Section,PH­ 20202714734,WA­ 20202714734,
994,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"mask, n95",Masks,Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.9,WA­ 20203198480,
995,2020-03-19,2020-03-19,Okanogan EM / Aero Methow,Okanogan,Twisp,"mask, n95",Masks,Incident Stabilization,County,Unassigned,,,OKEM20200316­ 0005.3,WA­ 20203198566,
996,2020-03-18,2020-03-19,SC DEM,Skamania,Stevenson,ppe,PPE,Incident Stabilization,County,Unassigned,,,0001 0001,WA­ 202031813663,
997,2020-02-07,2020-03-19,PHSKC,King,Seattle,rr 024 ­ translator,,Incident Stabilization,City,Completed,Completed,Logistics Section,PH­ 20202715105,WA­ 20202715105,
998,2020-03-19,2020-03-19,Okanogan EM / Fire Dist 12 Mt Hull,Okanogan,Tonasket,"mask, n95",Masks,Incident Stabilization,County,Unassigned,,,OKEM20200319­ 0010,WA­ 202031913871,
999,2020-03-19,2020-03-19,City of Bellevue Fire Department,King,Bellevue,thermometers,Thermometers,Incident Stabilization,City,Accepted,,,BEL­ 202031914573,WA­ 202031914573,
1000,2020-03-19,2020-03-19,Douglas County Sheriff's Office,Douglas,East Wenatchee,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,,,03­19­20 03 03­19­20 03,WA­ 202031915564,
1001,2020-03-19,2020-03-19,Bellevue Police Department,King,Bellevue,100 containers of disinfectant wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Unassigned,,,BE­ 202031912926,WA­ 202031912926,
1002,2020-03-19,2020-03-19,Snohomish County Sheriff's Office,Snohomish,Everett,"sanitizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Accepted,,,SnoCo­ 202031914846,WA­ 202031914846,
1003,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, deputy logistics section chief",Staffing,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.34 WA­ 20203615380,WA­ 20203615380,
1004,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, safety officer",Staffing,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.9 WA­ 2020368942,WA­ 2020368942,
1005,2020-03-06,2020-03-21,WA State DOH,King,Shoreline,"staffing, shoreline, safety officer",Staffing,Incident Stabilization,State,Assigned,Assigned,Planning Section,DOH­T 0306.8 WA­ 2020368404,WA­ 2020368404,
1006,2020-03-13,2020-03-21,Washington Emergency Management Division,Pierce,Tacoma,"staffing, camp murray, tacoma, cisa",Staffing,Incident Stabilization,State,Assigned,Accepted,Logistics Intergovernmental Resources Branch,WA­ 202031314774 WA­ 202031314774,WA­ 202031314774,
1007,2020-03-20,2020-03-21,Washington State Emergency Management,Pierce,Lakewood,osha tech,,Incident Stabilization,State,Assigned,Accepted,Logistics Intergovernmental Resources Branch,WA­ 202032016718,WA­ 202032016718,1591­ 110526
1008,2020-03-20,2020-03-21,Washington State Emergency Management,Pierce,Lakewood,task force leader,,Incident Stabilization,State,Assigned,Accepted,Logistics Intergovernmental Resources Branch,WA­ 202032015431,WA­ 202032015431,2591­ 11063
1009,2020-03-21,2020-03-21,Chelan County Emergency Management,Chelan,Wenatchee,*chelan county bulk ppe,,Incident Stabilization,State,Accepted,Assigned,Logistics Section,2020­03­21­14 2020­03­21­14,WA­ 20203211571,
1010,2020-02-15,2020-03-21,DOH IMT,King,Shoreline,staff for quarantine team,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH 0215.10 DOH 0215­10,WA­ 202021515152,
1010,2020-02-15,2020-03-21,DOH IMT,King,Shoreline,^,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH 0215.10 DOH 0215­10,WA­ 202021515152,
1011,2020-03-02,2020-03-21,PHSKC,King,Seattle,rr 037,,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203213283 WA­ 20203213283,WA­ 20203213283,
1011,2020-03-02,2020-03-21,PHSKC,King,Seattle,temp staffing for life care,Staffing,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203213283 WA­ 20203213283,WA­ 20203213283,
1011,2020-03-02,2020-03-21,PHSKC,King,Seattle,^,,Incident Stabilization,County,Completed,Completed,Logistics Section,PH­ 20203213283 WA­ 20203213283,WA­ 20203213283,
1012,2020-02-02,2020-03-21,WA State DOH,King,Shoreline,transportation coodination,,Incident Stabilization,County,Completed,Completed,Planning Section,NCoV0160,WA­ 20202211211,
1012,2020-02-02,2020-03-21,WA State DOH,King,Shoreline,^,,Incident Stabilization,County,Completed,Completed,Planning Section,NCoV0160,WA­ 20202211211,
1013,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,assistant safety officer,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH,WA­ 202021415283,
1013,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,^,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH,WA­ 202021415283,
1014,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,operations mcm staff member,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH 0213.11 DOH 0213.11,WA­ 202021411794,
1014,2020-02-14,2020-03-21,DOH IMT,King,Shoreline,^,,Incident Stabilization,County,Completed,Completed,Planning Section,DOH 0213.11 DOH 0213.11,WA­ 202021411794,
1015,2020-02-08,2020-03-21,WA State DOH,King,Shoreline,safety officer,,Incident Stabilization,County,Completed,Completed Cancelled,Planning Section,DOH 0208.01,WA­ 20202813904,
1015,2020-02-08,2020-03-21,WA State DOH,King,Shoreline,^,,Incident Stabilization,County,Completed,Completed Cancelled,Planning Section,DOH 0208.01,WA­ 20202813904,
1016,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,60,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031814967 SCSO­006,WA­ 202031814967,
1016,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"cover, boot, tyvek, extra­large, 350",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031814967 SCSO­006,WA­ 202031814967,
1016,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"cover, boot, tyvek, 2xl, 90",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031814967 SCSO­006,WA­ 202031814967,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, small, 10",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, medium, 50",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, large, 150",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, extra­large, 200",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, 2xl, 50",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, 3xl, 30",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1017,2020-03-18,2020-03-21,Spokane County Sheriff,Spokane,Spokane,"suit, tyvek, 4xl, 10",,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SCSO­005,WA­ 202031814257,
1018,2020-03-14,2020-03-21,Public Health Seattle King County,King,Seattle,"thermometer, no contact",Thermometers,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­ 20203148792,WA­ 20203148792,
